Año,Trimestre,Provincia,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total
2023,3,San Juan,12669,19376,42383,22317000,6985000,103730
2023,3,San Luis,4037,41624,24525,78431000,299000,148916
2023,3,Santa Cruz,8376,23931,11270,3660000,750000,47987
2023,3,Santa Fe,108503,397854,336013,44545000,13437000,900352
2023,3,Santiago del Estero,9412,80919,21745,6916000,2936000,121928
2023,3,Tierra del Fuego,9357,45203,3682,157000,332000,58731
2023,3,Tucumán,46348,20545,195053,4088000,523000,266557
2023,2,Buenos Aires,265537,2766463,1645945,138405000,69138000,4885488
2023,2,Capital Federal,68348,1218631,136295,4504000,29900000,1457678
2023,2,Catamarca,7637,10700,53177,1384000,92000,72990
2023,2,Chaco,19115,59944,51955,8267000,2574000,141855
2023,2,Chubut,33702,73689,16111,30521000,9938000,163961
2023,2,Córdoba,129303,453924,411703,62391000,10430000,1067751
2023,2,Corrientes,26821,82977,32834,10407000,5255000,158294
2023,2,Entre Ríos,46503,142562,49251,24461000,11170000,273947
2023,2,Formosa,11934,17678,13698,16813000,227000,60350
2023,2,Jujuy,13749,51082,47289,4067000,1255000,117442
2023,2,La Pampa,7254,59101,31449,19993000,1113000,118910
2023,2,La Rioja,4152,55148,21245,6395000,32000,86972
2023,2,Mendoza,25299,71931,171857,27609000,980000,297676
2023,2,Misiones,28897,82058,64406,12927000,7183000,195471
2023,2,Neuquén,26379,73040,35171,24046000,3110000,161746
2023,2,Río Negro,26390,49684,53325,16864000,17116000,163379
2023,2,Salta,30666,97501,58275,12337000,6549000,205328
2023,2,San Juan,21483,20200,25217,23545000,7004000,97449
2023,2,San Luis,4937,41949,15595,77960000,307000,140748
2023,2,Santa Cruz,9019,23896,11269,3660000,758000,48602
2023,2,Santa Fe,126344,399669,311166,44134000,14501000,895814
2023,2,Santiago del Estero,10629,80086,17244,6916000,2934000,117809
2023,2,Tierra del Fuego,12392,45224,525,157000,337000,58635
2023,2,Tucumán,50019,20012,188986,4060000,525000,263602
2023,1,Buenos Aires,304583,2761043,1551074,132458000,71770000,4820928
2023,1,Capital Federal,132149,1223930,156222,4605000,31823000,1548729
2023,1,Catamarca,6980,10655,50230,1384000,2243000,71492
2023,1,Chaco,21243,60727,49756,8142000,2574000,142442
2023,1,Chubut,45448,73525,9815,30521000,10744000,170053
2023,1,Córdoba,136976,455139,386297,61066000,10494000,1049972
2023,1,Corrientes,29577,81116,30016,11071000,5240000,157020
2023,1,Entre Ríos,51084,141699,44508,26415000,11172000,274878
2023,1,Formosa,12502,17421,13345,17490000,227000,60985
2023,1,Jujuy,15306,51082,46271,4067000,1255000,117981
2023,1,La Pampa,7049,59944,28126,20103000,1282000,116504
2023,1,La Rioja,4652,54604,20722,6395000,32000,86405
2023,1,Mendoza,37646,73678,152534,27592000,1569000,293019
2023,1,Misiones,30455,82834,56619,12896000,7881000,190685
2023,1,Neuquén,28030,72639,32296,23937000,3510000,160412
2023,1,Río Negro,33604,49128,45329,16857000,19413000,164331
2023,1,Salta,33427,96922,56259,12269000,6549000,205426
2023,1,San Juan,38568,21215,12798,21912000,7274000,101767
2023,1,San Luis,6283,42789,6952,78954000,485000,135463
2023,1,Santa Cruz,9702,23839,12217,3660000,943000,50361
2023,1,Santa Fe,138935,405618,283988,43487000,14246000,886274
2023,1,Santiago del Estero,11642,80407,16656,6916000,2934000,118555
2023,1,Tierra del Fuego,12754,43146,405,157000,651000,57113
2023,1,Tucumán,55822,19482,180976,4293000,527000,261100
2022,4,Buenos Aires,325908,2767247,1499149,129910000,72451000,4794665
2022,4,Capital Federal,138753,1238196,138548,4603000,31826000,1551926
2022,4,Catamarca,8952,10998,47337,1379000,2243000,70909
2022,4,Chaco,24582,61265,47285,7957000,2574000,143663
2022,4,Chubut,45450,73923,9815,30721000,8850000,168759
2022,4,Córdoba,152265,456947,367393,61631000,11424000,1049660
2022,4,Corrientes,34038,80283,26752,9082000,5298000,155453
2022,4,Entre Ríos,55507,135746,40798,26414000,12509000,270974
2022,4,Formosa,13735,17068,13118,17692000,227000,61840
2022,4,Jujuy,17880,52390,42626,4067000,1255000,118218
2022,4,La Pampa,7785,60566,24552,19995000,1266000,114164
2022,4,La Rioja,6120,54387,19328,6395000,32000,86262
2022,4,Mendoza,37655,77814,147080,27607000,1948000,292104
2022,4,Misiones,33204,87202,46885,11075000,7903000,186269
2022,4,Neuquén,28609,72679,31567,23815000,3510000,160180
2022,4,Río Negro,34043,48401,43958,16277000,19413000,162092
2022,4,Salta,36939,97023,53470,11884000,6544000,205860
2022,4,San Juan,38570,22913,12491,21912000,7940000,103826
2022,4,San Luis,6283,43460,3409,81557000,511000,135220
2022,4,Santa Cruz,9702,23876,12217,3746000,662000,50203
2022,4,Santa Fe,163621,412157,248558,44113000,19242000,887691
2022,4,Santiago del Estero,13577,80955,15117,6911000,2934000,119494
2022,4,Tierra del Fuego,12754,41293,405,157000,651000,55260
2022,4,Tucumán,69441,20668,168717,4069000,527000,263422
2022,3,Buenos Aires,339648,2748325,1436433,126846000,70416000,4721668
2022,3,Capital Federal,140791,1240125,129218,5758000,31787000,1547679
2022,3,Catamarca,10010,10495,46224,1329000,2235000,70293
2022,3,Chaco,27164,61800,44645,8178000,2359000,144146
2022,3,Chubut,45377,72212,9574,29784000,8831000,165778
2022,3,Córdoba,163770,465461,338570,61070000,9797000,1038668
2022,3,Corrientes,36508,77140,18619,7256000,5323000,144846
2022,3,Entre Ríos,60345,132952,36971,26098000,12593000,268959
2022,3,Formosa,14470,25880,11041,16935000,212000,68538
2022,3,Jujuy,19257,52978,40172,4033000,2383000,118823
2022,3,La Pampa,7796,60078,23551,20216000,4451000,116092
2022,3,La Rioja,6842,53899,19697,6395000,31000,86864
2022,3,Mendoza,37659,78858,142615,27625000,2766000,289523
2022,3,Misiones,35513,88902,39046,11074000,7622000,182157
2022,3,Neuquén,29352,75815,29396,27482000,1116000,163161
2022,3,Río Negro,35552,48260,41017,16760000,18969000,160558
2022,3,Salta,40006,96984,50254,10082000,7215000,204541
2022,3,San Juan,38570,22723,12328,21860000,7918000,103399
2022,3,San Luis,6860,29363,248,70614000,14985000,122070
2022,3,Santa Cruz,10170,24047,10815,3896000,582000,49510
2022,3,Santa Fe,183740,426255,215189,43079000,19547000,887810
2022,3,Santiago del Estero,15385,80937,13170,6618000,2922000,119032
2022,3,Tierra del Fuego,12754,39963,403,125000,651000,53896
2022,3,Tucumán,77738,18518,162345,3997000,519000,263117
2022,2,Buenos Aires,350652,2719613,1399043,126847000,71028000,4667183
2022,2,Capital Federal,145491,1232226,121506,5757000,31791000,1536771
2022,2,Catamarca,11928,9430,42087,1329000,2234000,67008
2022,2,Chaco,29552,61284,42194,8178000,2356000,143564
2022,2,Chubut,45377,69242,9574,29784000,8828000,162805
2022,2,Córdoba,179181,467595,308895,61107000,9657000,1026435
2022,2,Corrientes,38468,75769,18181,7256000,5323000,144997
2022,2,Entre Ríos,63794,131029,35839,26098000,12592000,269352
2022,2,Formosa,15397,25487,9875,16910000,212000,67881
2022,2,Jujuy,20303,54495,34184,3955000,2377000,115314
2022,2,La Pampa,7796,59273,22994,20200000,1264000,111527
2022,2,La Rioja,7759,52656,19189,6395000,31000,86030
2022,2,Mendoza,37663,77504,135504,26964000,1927000,279562
2022,2,Misiones,37208,89260,33649,11074000,7622000,178813
2022,2,Neuquén,29749,74905,28824,27371000,1119000,161968
2022,2,Río Negro,36050,47040,40946,16760000,18968000,159764
2022,2,Salta,42665,96178,47076,10068000,7190000,203177
2022,2,San Juan,38570,19734,12328,21859000,7916000,100407
2022,2,San Luis,6860,29034,248,70614000,14985000,121741
2022,2,Santa Cruz,10170,23725,10815,3896000,579000,49185
2022,2,Santa Fe,198492,428233,189503,43081000,19550000,878859
2022,2,Santiago del Estero,16561,80338,11605,6618000,2922000,118044
2022,2,Tierra del Fuego,12754,39837,403,125000,651000,53770
2022,2,Tucumán,85893,15327,148823,3997000,487000,254527
2022,1,Buenos Aires,392045,2728865,1242121,125521000,66872000,4555424
2022,1,Capital Federal,102290,1217225,62308,5784000,29934000,1417541
2022,1,Catamarca,14181,15517,29118,1328000,2234000,62378
2022,1,Chaco,32391,64546,36662,8164000,2356000,144119
2022,1,Chubut,44133,66667,9184,30592000,21052000,171628
2022,1,Córdoba,195610,501799,235838,60843000,9713000,1003803
2022,1,Corrientes,40462,79093,10875,6774000,5374000,142578
2022,1,Entre Ríos,67159,138986,23091,26098000,12592000,267926
2022,1,Formosa,16397,15927,5146,16876000,202000,54548
2022,1,Jujuy,21307,60616,25949,4662000,3975000,116509
2022,1,La Pampa,8003,58978,21739,19903000,1109000,109732
